Exportmodul_Name,Exportverfahren,Datenfluss,Pruefer,Schritt,enc_care_provider,enc_qs_data,enc_patient,enc_patient_tx,enc_patient_ngkv,Schema
'16/1,DeQS_PERI_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'17/1,DeQS_HGV_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,LE,unverschluesselt,0,0,n/a,n/a,n/a,interface_LE/2026_lqs_iv_1.0_Export.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,LE,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,LQS-LKG,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,LQS-LKG,unverschluesselt,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,LQS-LKG,pseudonymisiert,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv_psn.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,LQS-LKG,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,BAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'18/1,DeQS_MAMMA_LKG,indirekt_lkg,BAS,unverschluesselt,0,0,n/a,n/a,n/a,interface_BAS/interface_BAS_iv.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,LE,unverschluesselt,0,0,n/a,n/a,n/a,interface_LE/2026_kv_iv_1.0_Export.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,LE,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_KV_iv.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,KV,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_KV_iv.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,KV,unverschluesselt,0,0,n/a,n/a,n/a,interface_DAS/interface_KV_iv.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,KV,pseudonymisiert,0,0,n/a,n/a,n/a,interface_DAS/interface_KV_iv_psn.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,KV,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,BAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'APSY_KV,DeQS_AMBPT_KV,indirekt_kv,BAS,unverschluesselt,0,0,n/a,n/a,n/a,interface_BAS/interface_BAS_iv.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,LE,unverschluesselt,0,0,n/a,n/a,n/a,interface_LE/2026_sv_iv_1.0_Export.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,LE,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_SV_iv.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,VST-DAS,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_SV_iv.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,VST-DAS,pseudonymisiert,0,1,n/a,n/a,n/a,interface_DAS/interface_SV_iv_psn.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,VST-DAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,BAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'APSY_SV,DeQS_AMBPT_SV,indirekt_sv,BAS,unverschluesselt,0,0,n/a,n/a,n/a,interface_BAS/interface_BAS_iv.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'CHE,DeQS_CHE_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,LE,unverschluesselt,0,0,n/a,n/a,n/a,interface_LE/2026_lqs_iv_1.0_Export.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,LE,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,LQS-LKG,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,LQS-LKG,unverschluesselt,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,LQS-LKG,pseudonymisiert,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv_psn.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,LQS-LKG,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,BAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'DEK,DeQS_DEK_LKG,indirekt_lkg,BAS,unverschluesselt,0,0,n/a,n/a,n/a,interface_BAS/interface_BAS_iv.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'HCH,DeQS_HCH_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'HEP,DeQS_HGV_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,0,0,interface_LE/2026_LQS_pid_1.0_Export.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,1,1,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,1,1,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,1,1,interface_DAS/interface_LQS_pid.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,1,1,interface_DAS/interface_LQS_psn.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,1,1,interface_DAS_VST/interface_DAS_VST.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,1,0,interface_DAS_VST/interface_DAS_VST.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,1,0,interface_VST_BAS/interface_VST_BAS.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,1,0,interface_VST_BAS/interface_VST_BAS.xsd
'HTXFU_DeQS,DeQS_HTXM_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,1,0,interface_BAS/interface_BAS_pid.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,0,0,interface_LE/2026_LQS_pid_1.0_Export.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,1,1,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,1,1,interface_LE_DAS/interface_LE_LQS_pid.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,1,1,interface_DAS/interface_LQS_pid.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,1,1,interface_DAS/interface_LQS_psn.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,1,1,interface_DAS_VST/interface_DAS_VST.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,1,0,interface_DAS_VST/interface_DAS_VST.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,1,0,interface_VST_BAS/interface_VST_BAS.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,1,0,interface_VST_BAS/interface_VST_BAS.xsd
'HTXM,DeQS_HTXM_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,1,0,interface_BAS/interface_BAS_pid.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'KEP,DeQS_KEP_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'LLS,DeQS_LLTX_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,0,0,interface_LE/2026_LQS_pid_1.0_Export.xsd
'LLS,DeQS_LLTX_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,1,1,interface_LE_DAS/interface_LE_LQS_pid.xsd
'LLS,DeQS_LLTX_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,1,1,interface_LE_DAS/interface_LE_LQS_pid.xsd
